NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
1,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,NMAX ABS,5300000,29,2
4,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,23,2
7,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W175 SE,4900000,35,2
12,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W 175 CAFE,3000000,17,2
13,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4200000,23,2
14,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO110 CBS ISS,2300000,35,2
15,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW,1900000,35,2
17,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3350000,35,2
21,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO TECHNO 110,3268951,22,2
22,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,BYSON,1246850,33,2
25,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1586596,33,2
28,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW BYSON F1,3200000,35,2
29,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,10229720,35,2
36,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,7525000,23,2
37,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,5399742,20,2
39,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,5700000,29,2
