,NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
0,1,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,NMAX ABS,5300000,29,1
1,2,SARIWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BEKAS,KAWASAKI,NINJA ZX 6R ABS,74000000,12,0
2,3,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5000000,27,0
3,4,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,23,1
4,5,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,4000000,35,0
5,6,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,10000000,17,0
6,7,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W175 SE,4900000,35,1
7,8,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,3400000,33,0
8,9,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,GEAR 125 S-VERSION,2800000,35,0
9,10,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,22,0
10,11,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,22,0
11,12,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W 175 CAFE,3000000,17,1
12,13,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4200000,23,1
13,14,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO110 CBS ISS,2300000,35,1
14,15,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW,1900000,35,1
15,16,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,3200000,33,0
16,17,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3350000,35,1
17,18,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3300000,35,0
18,19,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2300000,33,0
19,20,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3721588,25,0
20,21,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO TECHNO 110,3268951,22,1
21,22,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,BYSON,1246850,33,1
22,23,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5800000,35,0
23,24,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35,0
24,25,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1586596,33,1
25,26,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,MIO M3 125,3312310,26,0
26,27,KARYAWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7000000,35,0
27,28,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW BYSON F1,3200000,35,1
28,29,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,10229720,35,1
